ROUTE,COUNT
4,3
7A,2
9,1
10,5
12,10
3A,28
3B,17
O_D,Block,Bus,Trip Start Stop ID,Trip Start Location,Trip End Stop ID,Trip End Location,Number of O_D Observations
,,,,,,,
785809-785839,2843,901,785809,KEMPER STREET TRANSFER STATI,785839,BEDFORD AVE./IN FRONT OF DOL,1
785809-785923,2856,903,785809,KEMPER STREET TRANSFER STATI,785923,CANDLERS STATION SHOPPING CE,1
785809-785951,2853,901,785809,KEMPER STREET TRANSFER STATI,785951,CHURCH ST. & 10TH ST.,1
785809-785974,100015,901,785809,KEMPER STREET TRANSFER STATI,785974,DILLARD DR. (J CREW DISTRIBU,2
785809-786033,100015,901,785809,KEMPER STREET TRANSFER STATI,786033,FOREST RD./ M&M CLEANERS (IN,1
785809-786120,100015,903,785809,KEMPER STREET TRANSFER STATI,786120,LAKESIDE DR. & WHITEHALL RD.,1
785809-786196,100015,901,785809,KEMPER STREET TRANSFER STATI,786196,MEMORIAL AVE. & ALLEGHANY AV,1
785809-786281,2862,901,785809,KEMPER STREET TRANSFER STATI,786281,PLAZA TRANSFER CENTER,1
785809-786331,2853,801,785809,KEMPER STREET TRANSFER STATI,786331,RIVERMONT AVE./ IN FRONT OF,1
785809-786410,2843,801,785809,KEMPER STREET TRANSFER STATI,786410,12TH ST. & CHURCH ST. (OUTBO,2
785809-786413,2843,903,785809,KEMPER STREET TRANSFER STATI,786413,12TH ST. & TAYLOR ST. (OUTBO,1
785809-786422,2843,903,785809,KEMPER STREET TRANSFER STAT,786422,VES RD./ ACROSS FROM VES SC,1
785839-786417,2843,901,785839,BEDFORD AVE./IN FRONT OF DOL,786417,12TH ST. & CLAY ST. (INBOUND,4
785862-786292,2853,801,785862,BOONSBORO RD./ KROGER STOP (,786292,RIVERMONT AVE. & VISTA AVE.,2
785865-785862,2853,801,785865,BOONSBORO RD./ ACROSS FROM K,785862,BOONSBORO RD./ KROGER STOP (,2
785923-785927,2856,903,785923,CANDLERS STATION SHOPPING CE,785927,CANDLERS STATION SHOPPING CE,1
785927-785810,2856,903,785927,CANDLERS STATION SHOPPING CE,785810,FORT AVE. & CAMPBELL AVE. (I,1
785951-785809,2853,901,785951,CHURCH ST. & 10TH ST.,785809,KEMPER STREET TRANSFER STATI,1
785951-786410,2853,901,785951,CHURCH ST. & 10TH ST.,786410,12TH ST. & CHURCH ST. (OUTBO,1
785955-786261,2853,801,785955,CLAY ST. & 11TH ST. (INBOUND,786261,PARK AVE. & FLOYD ST. (INBOU,1
785969-786396,2858,903,785969,CVCC CAMPUS MAIN STOP,786396,TIMBERLAKE RD. (SOCIAL SECU,1
785974-786032,100015,901,785974,DILLARD DR. (J CREW DISTRIBU,786032,FOREST RD./BURGER KING (INBO,1
785974-786111,100015,903,785974,DILLARD DR. (J CREW DISTRIBU,786111,LAKESIDE DR./ACROSS FROM ZIP,1
786032-785809,100015,901,786032,FOREST RD./BURGER KING (INBO,785809,KEMPER STREET TRANSFER STATI,1
786075-786288,2862,901,786075,FORT HILL VILLAGE SHOPPING C,786288,RIVER RIDGE MALL STOP,1
786111-786212,100015,903,786111,LAKESIDE DR./ACROSS FROM ZIP,786212,OAKLEY AVENUE & MACON STREET,1
786120-785809,100015,903,786120,LAKESIDE DR. & WHITEHALL RD.,785809,KEMPER STREET TRANSFER STATI,1
786174-785841,2843,903,786174,7TH ST. & MAIN ST.,785841,BEDFORD AVE. & MAGNOLIA ST.,1
786174-785843,2843,901,786174,7TH ST. & MAIN ST.,785843,BEDFORD AVE. & CORK ST. (OU,1
786174-785847,2843,901,786174,7TH ST. & MAIN ST.,785847,BEDFORD AVE. & RIVERMONT AVE,1
786174-786331,2843,901,786174,7TH ST. & MAIN ST.,786331,RIVERMONT AVE./ IN FRONT OF,1
786174-786422,2843,901,786174,7TH ST. & MAIN ST.,786422,VES RD./ ACROSS FROM VES SCH,3
786179-786331,2843,903,786179,MAIN ST. & 11TH ST.,786331,RIVERMONT AVE./ IN FRONT OF,1
786281-786075,2862,901,786281,PLAZA TRANSFER CENTER,786075,FORT HILL VILLAGE SHOPPING C,1
786288-786038,2862,901,786288,RIVER RIDGE MALL STOP,786038,FORT AVE. & FENWICK DR. (INB,1
786292-785955,2853,801,786292,RIVERMONT AVE. & VISTA AVE.,785955,CLAY ST. & 11TH ST. (INBOUND,1
786292-786261,2853,801,786292,RIVERMONT AVE. & VISTA AVE.,786261,PARK AVE. & FLOYD ST. (INBOU,2
786292-3463385,2853,801,786292,RIVERMONT AVE. & VISTA AVE.,3463385,RIVERMONT AVE. & VISTA AVE.,1
786292-3463386,2843,901,786292,RIVERMONT AVE. & VISTA AVE.,3463386,BEDFORD AVE. & RIVERMONT AVE,1
786396-785969,2858,903,786396,TIMBERLAKE RD. (SOCIAL SECU,785969,CVCC CAMPUS MAIN STOP,1
786413-786179,2843,903,786413,12TH ST. & TAYLOR ST. (OUTBO,786179,MAIN ST. & 11TH ST.,1
786417-785809,2843,901,786417,12TH ST. & CLAY ST. (INBOUND,785809,KEMPER STREET TRANSFER STATI,3
786417-786174,2843,901,786417,12TH ST. & CLAY ST. (INBOUND,786174,7TH ST. & MAIN ST.,2
786417-786410,2843,901,786417,12TH ST. & CLAY ST. (INBOUND,786410,12TH ST. & CHURCH ST. (OUTBO,1
786422-786417,2843,901,786422,VES RD./ ACROSS FROM VES SCH,786417,12TH ST. & CLAY ST. (INBOUND,1
786423-785809,2843,903,786423,VES RD./ ACROSS FROM WESTMIN,785809,KEMPER STREET TRANSFER STATI,2
786427-785839,2843,901,786427,VES RD. /WESTMINSTER NURSING,785839,BEDFORD AVE./IN FRONT OF DOL,1
788304-785809,2862,901,788304,SANDUSKY DR. & OAKDALE DR. (,785809,KEMPER STREET TRANSFER STATI,1
2332129-785809,2861,903,2332129,FIFTH ST. & POLK ST. (INBOUN,785809,KEMPER STREET TRANSFER STATI,1
3463385-785865,2853,801,3463385,RIVERMONT AVE. & VISTA AVE.,785865,BOONSBORO RD./ ACROSS FROM K,2
3463386-786422,2843,901,3463386,BEDFORD AVE. & RIVERMONT AVE,786422,VES RD./ ACROSS FROM VES SCH,1
OD Value,Route,Route Name,Block,Trip Date,Trip,Direction,Bus,Bike Rack Open,Bike Rack Closed,Trip Start Stop ID,Trip Start Location,Trip End Stop ID,Trip End Location,Trip Time,Slot
,,,,,,,,,,,,,,,
785809-785923,4,4,2856  ,2023-11-07,1015,1,903,10:08:50,10:41:06,785809,KEMPER STREET TRANSFER STATI    ,785923,CANDLERS STATION SHOPPING CE    ,32.27,BIKE RACK
785923-785927,4,4,2856  ,2023-11-07,1015,1,903,10:41:06,11:18:02,785923,CANDLERS STATION SHOPPING CE    ,785927,CANDLERS STATION SHOPPING CE    ,36.93,BIKE RACK
785927-785810,4,4,2856  ,2023-11-07,1057,0,903,11:18:02,11:37:31,785927,CANDLERS STATION SHOPPING CE    ,785810,FORT AVE. & CAMPBELL AVE. (I    ,19.48,BIKE RACK
785969-786396,7,7A,2858  ,2023-10-23,1315,1,903,12:23:31,12:59:49,785969,CVCC CAMPUS MAIN STOP           ,786396,TIMBERLAKE RD. (SOCIAL SECU     ,36.30,BIKE RACK
786396-785969,7,7A,2858  ,2023-10-23,1515,1,903,14:54:40,15:24:04,786396,TIMBERLAKE RD. (SOCIAL SECU     ,785969,CVCC CAMPUS MAIN STOP           ,29.40,BIKE RACK
2332129-785809,9,9,2861  ,2023-11-14,1245,0,903,13:09:24,13:14:15,2332129,FIFTH ST. & POLK ST. (INBOUN    ,785809,KEMPER STREET TRANSFER STATI    ,4.85,BIKE RACK
786281-786075,10,10,2862  ,2023-10-09,1015,1,901,10:26:03,10:39:05,786281,PLAZA TRANSFER CENTER           ,786075,FORT HILL VILLAGE SHOPPING C    ,13.03,BIKE RACK
786075-786288,10,10,2862  ,2023-10-09,1015,1,901,10:39:05,10:50:53,786075,FORT HILL VILLAGE SHOPPING C    ,786288,RIVER RIDGE MALL STOP           ,11.80,BIKE RACK
786288-786038,10,10,2862  ,2023-10-09,1045,0,901,10:50:53,10:57:33,786288,RIVER RIDGE MALL STOP           ,786038,FORT AVE. & FENWICK DR. (INB    ,6.67,BIKE RACK
785809-786281,10,10,2862  ,2023-10-10,1115,1,901,11:15:26,11:21:15,785809,KEMPER STREET TRANSFER STATI    ,786281,PLAZA TRANSFER CENTER           ,5.82,BIKE RACK
788304-785809,10,10,2862  ,2023-11-21,1245,0,901,12:54:37,13:12:04,788304,SANDUSKY DR. & OAKDALE DR. (    ,785809,KEMPER STREET TRANSFER STATI    ,17.45,BIKE RACK
785809-786196,12,12,100015,2023-10-19,1215,1,901,12:13:50,12:21:34,785809,KEMPER STREET TRANSFER STATI    ,786196,MEMORIAL AVE. & ALLEGHANY AV    ,7.73,BIKE RACK
785809-785974,12,12,100015,2023-11-07,1415,1,901,14:13:34,14:40:13,785809,KEMPER STREET TRANSFER STATI    ,785974,DILLARD DR. (J CREW DISTRIBU    ,26.65,BIKE RACK
785809-786120,12,12,100015,2023-11-17,1315,1,903,13:15:25,13:38:48,785809,KEMPER STREET TRANSFER STATI    ,786120,LAKESIDE DR. & WHITEHALL RD.    ,23.38,BIKE RACK
786120-785809,12,12,100015,2023-11-17,1315,1,903,13:38:48,14:21:09,786120,LAKESIDE DR. & WHITEHALL RD.    ,785809,KEMPER STREET TRANSFER STATI    ,42.35,BIKE RACK
785809-785974,12,12,100015,2023-11-17,1415,1,903,14:21:09,14:45:02,785809,KEMPER STREET TRANSFER STATI    ,785974,DILLARD DR. (J CREW DISTRIBU    ,23.88,BIKE RACK
785974-786111,12,12,100015,2023-11-17,1440,0,903,14:45:02,15:00:06,785974,DILLARD DR. (J CREW DISTRIBU    ,786111,LAKESIDE DR./ACROSS FROM ZIP    ,15.07,BIKE RACK
786111-786212,12,12,100015,2023-11-17,1440,0,903,15:00:06,15:08:45,786111,LAKESIDE DR./ACROSS FROM ZIP    ,786212,OAKLEY AVENUE & MACON STREET    ,8.65,BIKE RACK
785809-786033,12,12,100015,2023-11-24,1215,1,901,12:15:29,12:44:10,785809,KEMPER STREET TRANSFER STATI    ,786033,FOREST RD./ M&M CLEANERS (IN    ,28.68,BIKE RACK
785974-786032,12,12,100015,2023-11-24,1440,0,901,14:38:38,14:44:00,785974,DILLARD DR. (J CREW DISTRIBU    ,786032,FOREST RD./BURGER KING (INBO    ,5.37,BIKE RACK
786032-785809,12,12,100015,2023-11-24,1440,0,901,14:44:00,15:10:08,786032,FOREST RD./BURGER KING (INBO    ,785809,KEMPER STREET TRANSFER STATI    ,26.13,BIKE RACK
786174-786422,301,3A,2843  ,2023-10-06,0615,1,901,06:26:01,06:41:15,786174,7TH ST. & MAIN ST.              ,786422,VES RD./ ACROSS FROM VES SCH    ,15.23,BIKE RACK
786174-785843,301,3A,2843  ,2023-10-06,1845,0,901,19:27:50,19:37:01,786174,7TH ST. & MAIN ST.              ,785843,BEDFORD AVE. & CORK ST. (OU     ,9.18,BIKE RACK
786174-786422,301,3A,2843  ,2023-10-09,0615,1,801,06:25:47,06:40:40,786174,7TH ST. & MAIN ST.              ,786422,VES RD./ ACROSS FROM VES SCH    ,14.88,BIKE RACK
785809-786410,301,3A,2843  ,2023-10-09,1315,1,801,13:10:40,13:23:33,785809,KEMPER STREET TRANSFER STATI    ,786410,12TH ST. & CHURCH ST. (OUTBO    ,12.88,BIKE RACK
785839-786417,301,3A,2843  ,2023-10-11,1445,0,901,14:57:40,15:05:34,785839,BEDFORD AVE./IN FRONT OF DOL    ,786417,12TH ST. & CLAY ST. (INBOUND    ,7.90,BIKE RACK
786417-786174,301,3A,2843  ,2023-10-11,1445,0,901,15:05:34,15:33:21,786417,12TH ST. & CLAY ST. (INBOUND    ,786174,7TH ST. & MAIN ST.              ,27.78,BIKE RACK
786174-786331,301,3A,2843  ,2023-10-11,1515,1,901,15:33:21,15:42:19,786174,7TH ST. & MAIN ST.              ,786331,RIVERMONT AVE./ IN FRONT OF     ,8.97,BIKE RACK
786427-785839,301,3A,2843  ,2023-10-11,1645,0,901,16:51:32,17:01:01,786427,VES RD. /WESTMINSTER NURSING    ,785839,BEDFORD AVE./IN FRONT OF DOL    ,9.48,BIKE RACK
786174-786422,301,3A,2843  ,2023-10-12,0615,1,901,06:27:56,06:44:16,786174,7TH ST. & MAIN ST.              ,786422,VES RD./ ACROSS FROM VES SCH    ,16.33,BIKE RACK
786417-785809,301,3A,2843  ,2023-10-12,1145,0,901,12:08:14,12:15:09,786417,12TH ST. & CLAY ST. (INBOUND    ,785809,KEMPER STREET TRANSFER STATI    ,6.92,BIKE RACK
