Day of Week,Stop ID,Stop Name,Total On,Total Off,Total Activity,Cumulative Load,Wheelchair,Lat,Lon
,,,,,,,,,
Saturday,4230397,KEMPER STREET TRANSFER CENTE,397,412,809,529,29,37.408360,-79.149440
Saturday,786231,Old Forest Rd. (Walmart Stop),77,69,146,106,3,37.410413,-79.210715
Saturday,786288,River Ridge Mall Stop,29,49,77,137,4,37.363409,-79.180246
Saturday,786281,Plaza Transfer Center,31,31,62,110,1,37.404307,-79.168678
Saturday,786461,Wards Rd. (Walmart Parking Lot),27,29,56,77,1,37.352571,-79.184902
Saturday,786263,Buchanan St. ( Outbound From The Transfer Station),20,18,38,272,1,37.407462,-79.156373
Saturday,786445,Wards Rd. (Northbound Goodwill Seminole Ave.),28,8,36,57,1,37.367445,-79.182678
Saturday,786100,Greenfield Dr. (Outbound Greenfield Apartment Stop),21,13,35,74,0,37.392851,-79.131567
Saturday,2505501,Fresh Market 1,16,17,33,120,0,37.398419,-79.222558
Saturday,786417,Twelfth St. (Westbound Corner Of Clay St.),22,7,29,71,1,37.411059,-79.142619
Saturday,786166,Liberty University- Green Hall Transfer Station,13,13,26,114,2,37.356757,-79.174200
Saturday,786443,Wards Rd. (Northbound Burlington Coat Factory),22,4,26,73,1,37.373727,-79.184725
Saturday,786002,Federal St. (Tinbridge Manor Stop Where It Turns Into Hollins Mill Rd. ),10,9,20,49,1,37.419869,-79.155127
Saturday,786410,Twelfth St. (Eastbound Corner Of Church St.),5,15,20,78,1,37.411594,-79.141431
Saturday,3478096,Wadsworth St. Inbound (Park View United Methodist Church),13,7,20,65,2,37.402905,-79.166916
Saturday,786075,Fort Hill Shopping Center 2,7,12,19,30,1,37.373369,-79.194720
Saturday,785851,Boonsboro Rd. (Boonsboro Shopping Center Stop),8,9,17,26,3,37.447050,-79.218892
Saturday,785810,Fort Ave. & Campbell Ave. (Inbound),2,14,16,82,0,37.403152,-79.158606
Saturday,786174,7th St. & Main St.,9,7,16,91,1,37.417066,-79.144170
Saturday,786372,Target On Wards Rd,8,8,16,73,1,37.345073,-79.190896
Saturday,785848,Birchwood Dr. (Birchwood Apartments Stop Ii),8,7,15,87,1,37.410546,-79.188727
Saturday,786034,Fort Ave (Westbound Auto Zone Across From Thurman Avenue),9,5,15,131,0,37.399769,-79.162296
Saturday,786260,Park Ave. (Eastbound Miller Park Stop),10,5,15,76,0,37.404398,-79.163188
Saturday,786275,Park Avenue And Langhorne Road (Westbound),10,5,15,176,0,37.403231,-79.158753
Saturday,785850,Birchwood Dr. (Norhtbound Corner Of Hill St.),11,3,14,61,0,37.411395,-79.187716
Saturday,786012,Fifth St. (Westbound Corner Of Madison St.),7,7,14,47,1,37.415984,-79.149220
Saturday,786456,Wards Rd. (Southbound Fort Ave. Split In Front Of Cvs),2,12,14,127,0,37.375197,-79.185688
Saturday,786046,Fort Ave. (Northbound After Edley Pl. Split Of Fort Ave. And Memorial Ave.),4,7,12,79,1,37.390551,-79.171877
Saturday,786197,Memorial Ave. (Southbound Corner Of Talbot St.),2,10,12,107,0,37.398870,-79.169246
Saturday,785978,8TH ST & HARRISON ST (INBOUN,9,3,11,35,0,37.414000,-79.145540
Saturday,786194,Memorial Ave. (Northbound First Stop On Memorial From Oakley Ave.),8,3,11,38,0,37.398424,-79.169439
Saturday,786452,Wards Rd. (Northbound Walgreens At Convergance Of Wards Rd And Fort Ave),9,2,11,80,0,37.375681,-79.185587
Saturday,4230365,BEST BUY,4,8,11,73,0,37.349010,-79.187970
Saturday,786140,Langhorne Rd. (Eastbound Avante Nursing And Rehab Center),7,4,10,65,0,37.413590,-79.182372
Saturday,786351,Simons Run Rd. (Westbound Kohls Bus Stop),5,5,10,84,1,37.342561,-79.194461
Saturday,785969,Cvcc Campus Main Stop (2 Shleters),2,7,9,79,0,37.358842,-79.183360
Saturday,786192,Memorial Ave. (Inbound In Front Of Burger King),5,4,9,40,0,37.402399,-79.167568
Saturday,786455,Wards Rd. (Southbound Edgewood Ave.),2,7,9,116,0,37.371995,-79.184226
Saturday,785849,Birchwood Dr. (Birchwood Apartments Stop),3,5,8,87,0,37.410975,-79.188760
Saturday,786019,Florida Ave. (Northbound Across From Food Lion ),3,4,8,67,0,37.381523,-79.132867
Saturday,786078,Grace St. (Eastbound Before Robins Rd.),4,4,8,47,0,37.402715,-79.140003
Saturday,786118,Lakeside Dr. (Eastbound Walden Pond Apartments Stop),5,3,8,11,0,37.400338,-79.202360
Saturday,786272,Park Avenue And 12th Street,1,7,8,92,0,37.400946,-79.160843
Saturday,786297,Rivermont Ave. (Eastbound Corner Of Cabell St.),7,1,8,54,0,37.427795,-79.153720
Saturday,786350,Simons Run Rd. (Across From Kohls Shopping Center Parking Lot),3,4,8,41,0,37.342719,-79.191476
Saturday,3478097,Wadsworth St. Outbound (Across from Park View United Methodist Church),2,7,8,71,0,37.403013,-79.166838
Saturday,785862,Boonsboro Rd. (Eastbound Kroger Stop.),5,1,7,14,0,37.443581,-79.203015
Saturday,785886,Buena Vista St. (Eastbound Corner Of Tulip St.),4,3,7,49,0,37.402805,-79.133881
Saturday,785891,Campbell Ave. (Eastbound Corner Of Easley St.),2,4,7,74,0,37.389931,-79.147078
Saturday,785895,Campbell Ave. (Eastbound Corner Of Hanover St.),3,5,7,70,0,37.384153,-79.141685
Saturday,785903,Campbell Ave. (Eastbound Corner Of Twelfth St.),4,4,7,50,0,37.402699,-79.157658
Saturday,786070,Fort Ave. (Westbound Oakridge Blvd.),5,1,7,137,0,37.390478,-79.172119
Saturday,786082,Grace St. (Southbound Corner Of Knight St.),4,3,7,47,0,37.403992,-79.143705
Saturday,786232,Old Forest Rd. (Westbound Across From Biscuitville),3,4,7,54,0,37.410350,-79.213273
Saturday,786257,Park Ave. (Eastbound Corner Of Hutters Alley),1,7,7,129,0,37.404850,-79.158885
Saturday,786342,Ruesens Rd. (Outbound Maple Ridge Apartments),4,3,7,30,5,37.450915,-79.182958
Saturday,786390,Thomson Dr. (Lynchburg General Hospital Main Stop),4,3,7,32,0,37.415886,-79.172484
Saturday,786412,Twelfth St. (Eastbound Corner Of Grace St.),1,6,7,50,0,37.410499,-79.143287
Saturday,786444,Wards Rd. (Northbound Chick Fil-A),4,3,7,20,1,37.348525,-79.185966
Saturday,786458,Wards Rd. (Southbound Sheffield Dr.),2,5,7,114,0,37.370539,-79.183753
Saturday,786460,Wards Rd. (Southbound White Oak Dr.),1,6,7,123,0,37.374233,-79.185240
Saturday,785816,16Th St.& Floyd St. (Outbound),3,3,6,46,0,37.402937,-79.148217
Saturday,785845,Bedford Ave. (Westbound Corner Of Grayson St.),1,4,6,35,1,37.430831,-79.159469
Saturday,785889,Cabell St. (Corner Of Rivermont Ave. Across From Miles Market),1,5,6,39,0,37.427328,-79.152466
Saturday,785909,Campbell Ave. (Westbound Corner Of Georgia Ave.),4,2,6,29,0,37.383980,-79.141399
Saturday,785916,Campbell Ave. (Westbound Corner Of Twelfth St.),1,5,6,33,0,37.403100,-79.158041
Saturday,785929,Caroline St. (Westbound Corner Of Smythe St.),3,3,6,31,0,37.413596,-79.164147
Saturday,785951,Church St. (Corner Of Tenth St.),2,3,6,25,0,37.413593,-79.142607
Saturday,786022,Florida Ave. (Northbound Corner Of Greenfield Dr.),2,4,6,64,0,37.391382,-79.133470
Saturday,786063,Fort Ave. (Westbound Chesnut Hill Dr.),1,5,6,139,0,37.377190,-79.185278
Saturday,786198,Memorial Ave. (Southbound Corner Of Wilton Ave Across From Burger King),2,3,6,116,0,37.402423,-79.167736
Saturday,786264,Park Ave. (Northbound Corner Of Floyd St.),1,5,6,44,0,37.408991,-79.153702
Saturday,786270,Park Ave. (Westbound In Front Of Park Ave. Baptist Church),1,4,6,50,0,37.404489,-79.163290
Saturday,786271,Park Ave. (Westbound Place Stop Across From Corner Of Hutters Alley),5,2,6,145,0,37.404998,-79.158731
Saturday,786273,Fort Ave. & Marsh St. ( Outbound),3,3,6,173,0,37.401933,-79.160084
Saturday,786331,Rivermont Ave. (Westbound In Front Of Magnolia Foods),1,4,6,57,0,37.435049,-79.169815
Saturday,786448,Wards Rd. (Northbound Koto Japanese Steakhouse),2,4,6,56,0,37.371545,-79.183811
Saturday,785839,Bedford Ave. (Eastbound Transfer Point),4,1,5,20,0,37.434273,-79.166391
Saturday,785841,Bedford Ave. (Westbound Across From Cleveland Ave.),1,4,5,30,0,37.434465,-79.166442
Saturday,785918,Campbell Ave. (Westbound In Front Of Burger King),4,1,5,26,0,37.380984,-79.135026
Saturday,785923,Candlers Station Shopping Center,1,4,5,91,0,37.360604,-79.169503
Saturday,785926,Candlers Station Shopping Center (Exiting Onto Candlers Mt. Rd.),2,3,5,88,0,37.358164,-79.170537
Saturday,785986,Eighth Street (Outbound Corner Of Clay St.),1,5,5,36,0,37.414037,-79.145864
Saturday,786021,Florida Ave. (Northbound Corner Of Campbell Ave.),2,3,5,67,0,37.380066,-79.133869
Saturday,786126,Lakeside Dr. (Westbound First Stop Past Lemon Dr.),2,3,5,63,0,37.399893,-79.204063
Saturday,786170,Long Meadows Dr. (Southbound Wesly Apartments),3,2,5,30,0,37.373392,-79.198723
Saturday,786196,Memorial Ave. (Southbound Corner Of Alleghany Ave.),2,3,5,115,0,37.400850,-79.168369
Saturday,786223,Old Forest Rd. (Northbound Corner Of Poindexter St.),3,2,5,52,0,37.412579,-79.200552
