Day of Week,Stop ID,Stop Name,Total On,Total Off,Total Activity,Cumulative Load,Wheelchair,Lat,Lon
,,,,,,,,,
Sunday,4230397,KEMPER STREET TRANSFER CENTE,245,256,501,298,17,37.408360,-79.149440
Sunday,786231,Old Forest Rd. (Walmart Stop),44,38,82,60,2,37.410413,-79.210715
Sunday,786288,River Ridge Mall Stop,17,24,41,82,2,37.363409,-79.180246
Sunday,786461,Wards Rd. (Walmart Parking Lot),15,17,31,47,1,37.352571,-79.184902
Sunday,786281,Plaza Transfer Center,14,12,26,68,1,37.404307,-79.168678
Sunday,786100,Greenfield Dr. (Outbound Greenfield Apartment Stop),15,8,23,27,0,37.392851,-79.131567
Sunday,786166,Liberty University- Green Hall Transfer Station,11,9,20,72,1,37.356757,-79.174200
Sunday,2505501,Fresh Market 1,10,10,19,48,1,37.398419,-79.222558
Sunday,786445,Wards Rd. (Northbound Goodwill Seminole Ave.),14,4,18,34,1,37.367445,-79.182678
Sunday,786263,Buchanan St. ( Outbound From The Transfer Station),9,6,15,155,0,37.407462,-79.156373
Sunday,786417,Twelfth St. (Westbound Corner Of Clay St.),11,4,15,44,0,37.411059,-79.142619
Sunday,786002,Federal St. (Tinbridge Manor Stop Where It Turns Into Hollins Mill Rd. ),7,6,14,30,0,37.419869,-79.155127
Sunday,786075,Fort Hill Shopping Center 2,6,9,14,19,0,37.373369,-79.194720
Sunday,786443,Wards Rd. (Northbound Burlington Coat Factory),11,3,14,43,0,37.373727,-79.184725
Sunday,786012,Fifth St. (Westbound Corner Of Madison St.),5,7,12,28,0,37.415984,-79.149220
Sunday,786297,Rivermont Ave. (Eastbound Corner Of Cabell St.),9,2,12,34,1,37.427795,-79.153720
Sunday,786197,Memorial Ave. (Southbound Corner Of Talbot St.),2,7,10,39,0,37.398870,-79.169246
Sunday,786260,Park Ave. (Eastbound Miller Park Stop),7,3,10,47,0,37.404398,-79.163188
Sunday,785850,Birchwood Dr. (Norhtbound Corner Of Hill St.),6,3,9,34,0,37.411395,-79.187716
Sunday,785851,Boonsboro Rd. (Boonsboro Shopping Center Stop),5,5,9,15,2,37.447050,-79.218892
Sunday,786046,Fort Ave. (Northbound After Edley Pl. Split Of Fort Ave. And Memorial Ave.),4,5,9,46,1,37.390551,-79.171877
Sunday,786174,7th St. & Main St.,5,4,9,57,1,37.417066,-79.144170
Sunday,786275,Park Avenue And Langhorne Road (Westbound),6,4,9,99,0,37.403231,-79.158753
Sunday,786410,Twelfth St. (Eastbound Corner Of Church St.),2,7,9,51,0,37.411594,-79.141431
Sunday,785810,Fort Ave. & Campbell Ave. (Inbound),1,7,8,45,0,37.403152,-79.158606
Sunday,786372,Target On Wards Rd,4,4,8,44,0,37.345073,-79.190896
Sunday,785848,Birchwood Dr. (Birchwood Apartments Stop Ii),4,3,7,47,0,37.410546,-79.188727
Sunday,785951,Church St. (Corner Of Tenth St.),3,3,7,15,0,37.413593,-79.142607
Sunday,785978,8TH ST & HARRISON ST (INBOUN,5,2,7,20,0,37.414000,-79.145540
Sunday,786140,Langhorne Rd. (Eastbound Avante Nursing And Rehab Center),4,3,7,36,0,37.413590,-79.182372
Sunday,786194,Memorial Ave. (Northbound First Stop On Memorial From Oakley Ave.),4,3,7,24,0,37.398424,-79.169439
Sunday,786350,Simons Run Rd. (Across From Kohls Shopping Center Parking Lot),2,5,7,35,0,37.342719,-79.191476
Sunday,786456,Wards Rd. (Southbound Fort Ave. Split In Front Of Cvs),1,6,7,82,0,37.375197,-79.185688
Sunday,785954,Clay St. (Northbound Corner Of Tenth St.),4,2,6,22,0,37.412440,-79.144148
Sunday,786019,Florida Ave. (Northbound Across From Food Lion ),2,3,6,18,0,37.381523,-79.132867
Sunday,786351,Simons Run Rd. (Westbound Kohls Bus Stop),4,2,6,51,1,37.342561,-79.194461
Sunday,4230365,BEST BUY,2,4,6,44,0,37.349010,-79.187970
Sunday,785837,Bedford Ave. (Eastbound Corner Of Holly St.),4,1,5,15,1,37.431107,-79.160513
Sunday,785849,Birchwood Dr. (Birchwood Apartments Stop),3,2,5,47,0,37.410975,-79.188760
Sunday,785895,Campbell Ave. (Eastbound Corner Of Hanover St.),1,4,5,20,0,37.384153,-79.141685
Sunday,785969,Cvcc Campus Main Stop (2 Shleters),1,5,5,49,0,37.358842,-79.183360
Sunday,786078,Grace St. (Eastbound Before Robins Rd.),2,3,5,29,0,37.402715,-79.140003
Sunday,786192,Memorial Ave. (Inbound In Front Of Burger King),3,2,5,26,0,37.402399,-79.167568
Sunday,786272,Park Avenue And 12th Street,0,5,5,50,0,37.400946,-79.160843
Sunday,786390,Thomson Dr. (Lynchburg General Hospital Main Stop),2,3,5,18,0,37.415886,-79.172484
Sunday,786412,Twelfth St. (Eastbound Corner Of Grace St.),1,4,5,30,0,37.410499,-79.143287
Sunday,786444,Wards Rd. (Northbound Chick Fil-A),3,2,5,12,0,37.348525,-79.185966
Sunday,786452,Wards Rd. (Northbound Walgreens At Convergance Of Wards Rd And Fort Ave),4,1,5,46,0,37.375681,-79.185587
Sunday,3478096,Wadsworth St. Inbound (Park View United Methodist Church),3,2,5,35,0,37.402905,-79.166916
Sunday,785816,16Th St.& Floyd St. (Outbound),2,2,4,28,0,37.402937,-79.148217
Sunday,785839,Bedford Ave. (Eastbound Transfer Point),3,1,4,10,0,37.434273,-79.166391
Sunday,785886,Buena Vista St. (Eastbound Corner Of Tulip St.),2,2,4,30,0,37.402805,-79.133881
Sunday,785889,Cabell St. (Corner Of Rivermont Ave. Across From Miles Market),0,4,4,24,0,37.427328,-79.152466
Sunday,785891,Campbell Ave. (Eastbound Corner Of Easley St.),2,3,4,24,0,37.389931,-79.147078
Sunday,785903,Campbell Ave. (Eastbound Corner Of Twelfth St.),3,2,4,26,0,37.402699,-79.157658
Sunday,785909,Campbell Ave. (Westbound Corner Of Georgia Ave.),3,1,4,19,0,37.383980,-79.141399
Sunday,785918,Campbell Ave. (Westbound In Front Of Burger King),3,1,4,17,0,37.380984,-79.135026
Sunday,785923,Candlers Station Shopping Center,1,3,4,56,0,37.360604,-79.169503
Sunday,785986,Eighth Street (Outbound Corner Of Clay St.),1,3,4,24,0,37.414037,-79.145864
Sunday,786063,Fort Ave. (Westbound Chesnut Hill Dr.),1,3,4,87,0,37.377190,-79.185278
Sunday,786070,Fort Ave. (Westbound Oakridge Blvd.),3,1,4,87,0,37.390478,-79.172119
Sunday,786223,Old Forest Rd. (Northbound Corner Of Poindexter St.),2,2,4,29,0,37.412579,-79.200552
Sunday,786257,Park Ave. (Eastbound Corner Of Hutters Alley),1,4,4,74,0,37.404850,-79.158885
Sunday,786264,Park Ave. (Northbound Corner Of Floyd St.),0,4,4,28,0,37.408991,-79.153702
Sunday,786271,Park Ave. (Westbound Place Stop Across From Corner Of Hutters Alley),2,1,4,73,0,37.404998,-79.158731
Sunday,786293,Rivermont Ave. (Eastbound Corner Of Arrington St.),2,1,4,17,0,37.435706,-79.172485
Sunday,786299,Rivermont Ave. (Eastbound Corner Of Elmwood Ave.),3,1,4,19,0,37.434829,-79.170173
Sunday,786331,Rivermont Ave. (Westbound In Front Of Magnolia Foods),1,3,4,34,0,37.435049,-79.169815
Sunday,786342,Ruesens Rd. (Outbound Maple Ridge Apartments),3,1,4,19,2,37.450915,-79.182958
Sunday,786454,Wards Rd. (Southbound Carpetland),0,4,4,72,0,37.366862,-79.182753
Sunday,786458,Wards Rd. (Southbound Sheffield Dr.),1,3,4,76,0,37.370539,-79.183753
Sunday,785841,Bedford Ave. (Westbound Across From Cleveland Ave.),1,2,3,19,0,37.434465,-79.166442
Sunday,785845,Bedford Ave. (Westbound Corner Of Grayson St.),1,2,3,22,0,37.430831,-79.159469
Sunday,785847,Bedford Ave. (Westbound In Front Of Rivermont Ave. Baptist Church),0,2,3,22,0,37.429125,-79.154901
Sunday,785862,Boonsboro Rd. (Eastbound Kroger Stop.),2,0,3,8,0,37.443581,-79.203015
Sunday,785916,Campbell Ave. (Westbound Corner Of Twelfth St.),1,2,3,23,0,37.403100,-79.158041
Sunday,785922,Candlers Mt. Rd. (Southbound Parking Lot Of Trbc),0,2,3,58,0,37.362139,-79.171636
Sunday,785924,Candlers Station Shopping Center (Dollar Movie Parking Lot),2,1,3,19,0,37.358636,-79.169631
Sunday,785926,Candlers Station Shopping Center (Exiting Onto Candlers Mt. Rd.),1,2,3,55,0,37.358164,-79.170537
Sunday,785929,Caroline St. (Westbound Corner Of Smythe St.),1,1,3,20,0,37.413596,-79.164147
